City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Paka,4.64,103.44,77.0,94,93,4.12,MY,1595102393
Bariloche,-41.15,-71.31,41.0,93,90,10.29,AR,1595102393
Vilyuysk,63.76,121.62,54.57,93,75,4.76,RU,1595102393
Shakawe,-18.37,21.85,52.59,44,0,5.03,BW,1595102393
Muravlenko,63.79,74.52,61.9,92,20,4.47,RU,1595102393
Zhezkazgan,47.8,67.71,79.68,42,54,11.95,KZ,1595102394
Alta,69.97,23.27,57.2,82,59,10.29,NO,1595102394
Olafsvik,64.89,-23.71,48.36,80,23,18.54,IS,1595102310
Los Llanos de Aridane,28.66,-17.92,78.01,88,75,12.75,ES,1595102394
Gonder,12.6,37.47,57.83,87,100,5.06,ET,1595102394
Flin Flon,54.77,-101.86,60.8,93,90,5.82,CA,1595102394
Omboué,-1.57,9.26,72.57,86,0,7.65,GA,1595102394
Brookfield,43.06,-88.11,81.0,83,40,14.99,US,1595102158
Yerbogachën,61.28,108.01,44.24,94,38,4.0,RU,1595102395
Honningsvåg,70.98,25.97,51.13,84,66,9.57,NO,1595102395
Luwuk,-0.95,122.79,76.37,80,27,4.9,ID,1595102395
Basco,20.45,121.97,84.63,80,47,14.65,PH,1595102395
Estación Coahuila,32.19,-115.0,100.4,22,5,4.7,MX,1595102396
Bintulu,3.17,113.03,78.8,88,20,4.7,MY,1595102396
Visby,57.64,18.3,66.2,63,7,6.93,SE,1595102396
Brantford,43.13,-80.27,89.01,39,17,5.01,CA,1595102391
Ulladulla,-35.35,150.47,50.0,71,100,10.29,AU,1595102396
Vanderhoof,54.02,-124.02,54.57,90,100,1.92,CA,1595102396
Bako,5.78,36.57,63.05,83,99,1.86,ET,1595102396
Anori,-3.77,-61.64,88.34,62,100,2.3,BR,1595102396
Camacha,33.08,-16.33,71.6,78,40,11.41,PT,1595102397
Mishelevka,52.86,103.17,49.33,80,89,4.63,RU,1595102397
Coruripe,-10.13,-36.18,75.02,77,75,10.89,BR,1595102397
Uray,60.12,64.78,71.04,75,70,7.43,RU,1595102397
Yarmouth,41.71,-70.23,84.2,62,1,10.29,US,1595102397
Ubari,26.59,12.78,93.11,15,7,7.29,LY,1595102397
Nantucket,41.28,-70.1,78.01,94,90,11.41,US,1595102363
Antalaha,-14.9,50.28,66.52,79,43,10.58,MG,1595102397
Washington,47.5,-120.5,87.01,31,0,4.59,US,1595102350
Kushmurun,52.45,64.63,77.5,61,0,9.89,KZ,1595102398
Belomorsk,64.52,34.77,62.65,77,100,5.7,RU,1595102398
Port Augusta,-32.5,137.77,48.2,93,0,10.29,AU,1595102398
Kisangani,0.52,25.2,70.68,93,100,1.83,CD,1595102398
Rocky Mountain House,52.37,-114.92,70.14,44,45,5.32,CA,1595102398
‘Ewa Beach,21.32,-158.01,84.2,62,20,6.93,US,1595102172
Mundybash,53.21,87.3,56.28,82,0,3.69,RU,1595102398
Jishui,33.73,115.4,70.54,94,100,9.4,CN,1595102399
Morón,-34.65,-58.62,61.0,100,90,4.7,AR,1595102192
Solano,38.23,-121.95,96.01,32,1,12.75,US,1595102399
Nyurba,63.28,118.33,50.72,94,54,4.99,RU,1595102399
Altay,47.87,88.12,71.64,37,0,6.04,CN,1595102399
Todos Santos,23.45,-110.22,81.0,79,88,4.0,MX,1595102107
Caronport,50.45,-105.82,71.6,56,40,12.75,CA,1595102399
Motygino,58.18,94.76,43.27,85,0,1.72,RU,1595102399
Perth,-31.93,115.83,46.99,100,20,4.7,AU,1595102213
Pingliang,35.54,106.69,60.21,65,5,6.06,CN,1595102400
Nālūt,30.33,10.85,91.02,25,82,11.01,LY,1595102400
Salamiyah,35.01,37.05,71.78,51,0,8.68,SY,1595102400
Thinadhoo,0.53,72.93,81.68,76,100,17.4,MV,1595102308
Tabou,4.42,-7.35,76.33,85,3,7.29,CI,1595102400
Udachny,66.42,112.4,51.8,87,90,4.47,RU,1595102400
Suez,29.97,32.53,76.28,68,0,12.59,EG,1595102401
Bubaque,11.28,-15.83,79.57,83,90,15.39,GW,1595102401
Tautira,-17.73,-149.15,77.0,73,20,12.75,PF,1595102401
Bayangol,50.7,103.47,44.17,93,86,0.96,RU,1595102402
Oruzgan,32.83,66.0,70.2,24,0,2.93,AF,1595102402
Srednekolymsk,67.45,153.68,50.43,68,0,5.86,RU,1595102403
Nemuro,43.32,145.57,58.33,96,100,7.81,JP,1595102404
Shenkursk,62.11,42.9,56.32,80,0,4.92,RU,1595102404
College,64.86,-147.8,60.8,77,75,3.36,US,1595102157
Stornoway,58.21,-6.39,53.6,76,89,13.87,GB,1595102301
Rafai,4.95,23.92,68.07,97,48,2.77,CF,1595102406
Noumea,-22.28,166.46,69.01,93,90,5.82,NC,1595102324
Urucará,-2.54,-57.76,91.56,48,58,3.89,BR,1595102407
Batagay-Alyta,67.8,130.41,55.44,90,97,2.89,RU,1595102407
Pangnirtung,66.15,-65.71,48.2,81,75,13.87,CA,1595102408
Alugan,12.22,125.48,81.28,81,100,9.53,PH,1595102408
Saint Anthony,45.02,-93.22,90.0,62,90,4.7,US,1595102408
Pauini,-7.71,-66.98,95.38,34,42,1.41,BR,1595102409
Khovu-Aksy,51.13,93.6,51.91,72,0,2.17,RU,1595102409
Dunedin,-45.87,170.5,46.0,88,0,4.0,NZ,1595102129
Chudovo,59.12,31.68,61.36,76,100,3.87,RU,1595102409
Dudinka,69.41,86.18,50.0,87,100,8.95,RU,1595102409
Ciudad del Carmen,18.63,-91.83,86.0,70,20,6.93,MX,1595102410
Atbasar,51.8,68.33,74.03,61,1,10.71,KZ,1595102410
Morro Bay,35.37,-120.85,84.0,60,1,7.02,US,1595102152
Shimoda,34.67,138.95,68.0,96,100,7.34,JP,1595102410
São José da Coroa Grande,-8.9,-35.15,75.94,77,8,11.72,BR,1595102294
Puerto Escondido,15.85,-97.07,87.8,62,5,9.17,MX,1595102411
Kataysk,56.29,62.58,66.4,91,96,5.97,RU,1595102411
Tessalit,20.2,1.01,91.85,28,11,8.21,ML,1595102411
Province of Huelva,37.67,-7.0,79.0,64,0,5.01,ES,1595102411
Yumen,40.28,97.2,70.0,23,0,7.65,CN,1595102411
Rayong,12.83,101.43,82.99,94,99,3.91,TH,1595102412
Inhambane,-23.86,35.38,60.8,93,20,4.83,MZ,1595102329
Betulia,6.11,-75.98,79.0,38,20,9.17,CO,1595102412
Olkhovka,53.21,60.61,70.05,85,42,4.88,RU,1595102412
Itoigawa,37.03,137.85,70.0,92,51,3.04,JP,1595102412
Jumla,29.27,82.18,65.68,73,100,1.12,NP,1595102412
Itarema,-2.92,-39.92,82.47,68,100,13.0,BR,1595102413
Tangzhai,34.43,116.59,75.99,88,100,9.78,CN,1595102414
Ostrovnoy,68.05,39.51,62.44,61,32,14.23,RU,1595102414
Flinders,-34.58,150.86,46.99,88,100,1.01,AU,1595102414
Galle,6.04,80.22,80.64,86,100,9.66,LK,1595102347
Pitimbu,-7.47,-34.81,78.8,78,75,13.87,BR,1595102118
Tromsø,69.65,18.96,60.8,59,0,12.75,NO,1595102414
Soyo,-6.13,12.37,72.03,84,0,10.09,AO,1595102414
Westerland,54.91,8.3,64.4,82,100,4.7,DE,1595102415
Gurjaani,41.74,45.8,76.96,46,0,1.9,GE,1595102415
Labuhan,-6.88,112.21,75.69,83,9,7.72,ID,1595102415
Fallon,39.47,-118.78,93.99,14,20,5.82,US,1595102415
Lake Shasta,40.68,-122.37,99.0,25,0,3.0,US,1595102333
San Patricio,19.22,-104.7,89.6,75,5,9.17,MX,1595102253
Düzce,40.84,31.16,69.85,75,6,0.6,TR,1595102415
Kambove,-10.88,26.6,49.03,75,0,7.2,CD,1595102416
Alofi,-19.06,-169.92,75.2,83,65,4.7,NU,1595102416
Kemijärvi,66.71,27.43,59.59,86,31,6.69,FI,1595102416
Nehe,48.48,124.83,67.19,82,100,7.4,CN,1595102416
Moses Lake,47.13,-119.28,86.0,34,1,9.17,US,1595102416
Salmās,38.2,44.77,73.4,56,20,6.93,IR,1595102416
Departamento de Maldonado,-34.67,-54.92,66.99,100,75,3.36,UY,1595102417
Sinnamary,5.38,-52.95,81.88,82,87,9.86,GF,1595102417
Ust'-Ilimsk,58.0,102.66,43.38,93,44,3.02,RU,1595102417
Pringsewu,-5.36,104.97,72.1,94,44,0.72,ID,1595102417
Northam,51.03,-4.22,60.01,96,100,4.0,GB,1595102417
Kununurra,-15.77,128.73,55.4,38,19,1.12,AU,1595102280
Laas,46.62,10.7,57.2,62,40,5.82,IT,1595102418
Ooty,11.4,76.7,73.4,94,40,4.7,IN,1595102410
Port Pirie,-33.18,138.02,48.2,93,1,10.29,AU,1595102418
Bar Harbor,44.39,-68.2,82.99,73,1,13.87,US,1595102418
Ugoofaaru,5.67,73.0,82.92,74,100,18.92,MV,1595102418
Sept-Îles,50.2,-66.38,70.0,77,40,12.75,CA,1595102419
Bat Yam,32.02,34.75,80.01,69,20,3.36,IL,1595102419
Kyshtovka,56.55,76.63,64.63,87,60,4.56,RU,1595102419
Teknāf,20.86,92.31,80.53,87,100,5.3,BD,1595102420
Lima,-12.04,-77.03,66.2,63,40,6.93,PE,1595102156
Fairlie,55.76,-4.86,55.99,78,95,4.0,GB,1595102420
Marsh Harbour,26.54,-77.06,83.59,76,100,15.48,BS,1595102420
Kailua,21.4,-157.74,81.0,83,90,6.93,US,1595102420
Kikwit,-5.04,18.82,77.27,32,4,2.37,CD,1595102421
Bezhanitsy,56.98,29.89,61.36,83,99,3.0,RU,1595102421
Chapais,49.78,-74.85,77.0,44,75,8.05,CA,1595102421
Beisfjord,68.38,17.6,59.0,67,13,4.7,NO,1595102422
Mount Isa,-20.73,139.5,39.2,44,0,9.55,AU,1595102166
Uíge,-7.61,15.06,68.31,36,0,3.58,AO,1595102422
Östersund,63.18,14.64,62.6,72,12,13.87,SE,1595102422
Gornopravdinsk,60.05,69.9,68.63,84,6,5.32,RU,1595102422
Villacarrillo,38.12,-3.08,93.99,25,0,2.33,ES,1595102423
Puerto del Rosario,28.5,-13.86,84.2,58,0,6.93,ES,1595102423
Parvatsar,26.88,74.77,90.01,53,66,14.38,IN,1595102423
Gashua,12.87,11.05,84.11,53,36,5.3,NG,1595102424
Mount Gambier,-37.83,140.77,46.4,100,40,9.17,AU,1595102164
Caravelas,-17.71,-39.25,73.13,63,100,6.42,BR,1595102424
Nanning,22.82,108.32,82.4,83,100,2.24,CN,1595102424
Kalmunai,7.42,81.82,82.17,74,100,5.77,LK,1595102425
Taltal,-25.4,-70.48,60.53,64,50,5.17,CL,1595102425
Isabela,6.71,121.97,78.53,85,2,4.12,PH,1595102425
Faanui,-16.48,-151.75,75.25,84,85,21.61,PF,1595102425
Tairua,-37.02,175.85,55.99,92,94,11.01,NZ,1595102426
Samoded,63.61,40.51,52.92,77,69,2.39,RU,1595102426
Pocatello,42.87,-112.45,82.0,28,1,12.75,US,1595102426
Zernograd,46.85,40.31,66.0,77,0,11.01,RU,1595102426
Lukh,57.01,42.26,56.86,94,100,6.24,RU,1595102427
Sosnovo-Ozerskoye,52.52,111.54,45.77,83,96,10.47,RU,1595102427
